DATA,ARROZ,FEIJÃO,SALADA 1,SALADA 2,PRATO PRINCIPAL,PRATO VEGETARIANO,GUARNIÇÃO,SOBREMESA
01 - TER,BRANCO / INTEGRAL,PRETO,REPOLHO,ABOBRINHA,CARNE AO M. SHOYO,BOLINHO DE ERVILHA,QUIBEBE,MELANCIA
02 - QUA,BRANCO / INTEGRAL,CARIOCA,ALMEIRÃO,PEPINO,FRANGO AO M. MOSTARDA,SOJA A VINAGRTE,CHUCHU C/ HORTELÃ,MAÇÃ
03 - QUI,BRANCO / INTEGRAL,CARIOCA,ALFACE,CHUCHUNETE,PEIXE NO FUBÁ,HAMBURGUER DE F. FRADINHO,ACELGA REFOGADA,LARANJA
04 - SEX,BRANCO / INTEGRAL,CARIOCA,ESCAROLA,CENOURA,NHOQUE C/ FRANGO,KIBE DE LENTILHA,REPOLHO AO ALHO,MELÃO
07 - SEG,BRANCO / INTEGRAL,CARIOCA,ALFACE,PEPINO,ABOBRINHA A VINAGRETE,,,LARANJA
08 - TER,BRANCO / INTEGRAL,PERTO,REPOLHO,CENOURA,ISCA DE PEIXE AO M. DE LIMÃO,HAMBURGUER DE SOJA,COUVE AO ALHO,MELÃO
09 - QUA,BRANCO / INTEGRAL,CARIOCA,ESCAROLA,BETERRABA,BIFE DE PANELA,KIBE DE ERVILHA,BERINJELA C/ SALSÃO,BANANA
10 - QUI,BRANCO / INTEGRAL,CARIOCA,ACELGA,ABOBRINETE,CUBOS DE FRANGO AO M. SHOYO,BOLINHO DE PTS ESCAROLA REFOGADA,MAÇÃ
11 - SEX,BRANCO / INTEGRAL,CARIOCA,RUCULA,CHUCHU,STROGONOFF DE CARNE,STROGONOFF DE GRÃO DE BICO,BATATA SAUTE,MELANCIA
14 - SEG,BRANCO / INTEGRAL,CARIOCA,ESCAROLA,CHUCHU,ABOBORA ASSADA,,,MAÇÃ
15 - TER,BRANCO / INTEGRAL,CARIOCA,ALFACE,BETERRABA,PEIXE NO FUBÁ,BOLINHO DE ERVILHA,SUFLÊ DE CHUCHU,MELANCIA
16 - QUA,BRANCO / INTEGRAL,PRETO,ALMEIRÃO,PEPINETE,ISCA DE FRANGO AO M. MADEIRA,C/ CHAMPIGNON,PTS AO M. MADEIRA C/ CHAMPIGNON COUVE REFOGADA,LARANJA
17 - QUI,BRANCO / INTEGRAL,CARIOCA,ACELGA,ABOBRINHA,CUBOS DE CARNE AO M. INGLÊS,HAMBURGUER DE F. PRETO,CENOURA AO ALHO,BANANA
18 - SEX,BRANCO / INTEGRAL,CARIOCA,REPOLHO,CENOURA,FRANGO ACEBOLADO,KIBE DE SOJA,BERINJELA C/ MANJERICÃO,MELÃO
21 - SEG,BRANCO / INTEGRAL,CARIOCA,ALMEIRÃO,CENOURETE,BETERRABA COZIDA,,,MELÃO
22 - TER,BRANCO / INTEGRAL,CARIOCA,ACELGA,PEPINO,ISCA DE PEIXE A PORTUGUESA,BOLINHO DE F. PRETO,ABOBORA AO ALHO,LARANJA
23 - QUA,BRANCO / INTEGRAL,CARIOCA,RUCULA,CHUCHU,BIFE AO M. SUGO,HAMBURGUER DE LENTILHA,ABOBRINHA C/ SALSÃO,MELANCIA
24 - QUI,BRANCO / INTEGRAL,CARIOCA,REPOLHO,BETERRABA,FRANGO GRELHADO,KIBE DE ERVILHA,ESCAROLA REFOGADA,BANANA
25 - SEX,BRANCO / INTEGRAL,PRETO,ALFACE,ABOBRINHA,PERNIL C/ PIMENTÃO,F. FRADINHO C/ PIMENTÃO E TOMATE,MACARRÃO C/ MOLHO SUGO,MAÇÃ
28 - SEG,BRANCO / INTEGRAL,CARIOCA,ACELGA,BETERRABA,ESCAROLA REFOGADA,,,MAÇÃ
29 - TER,BRANCO / INTEGRAL,CARIOCA,ESCAROLA,ABOBRINHA,PEIXE ASSADO,BOLINHO DE PTS,COUVE REFOGADA,LARANJA
30 - QUA,BRANCO / INTEGRAL,CARIOCA,REPOLHO ROXO,CENOURA,ISCA DE FRANGO ACEBOLADA,HAMBURGUER DE F. FRADINHO,BERINJELA REFOGADA,MELÃO
31 - QUI,BRANCO / INTEGRAL,PRETO,ALFACE,CHUCHU,CUBO DE CARNE DE PANELA,SOJA A VINAGRETE,FAROFA COLORIDA,BANANA
01 - SEX,BRANCO / INTEGRAL,CARIOCA,ALMEIRÃO,PEPINO,FRICASSE DE CARNE,FRICASSE DE GRÃO DE BICO,CENOURA AO ALHO,MELANCIA